pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_eqt,st_mass,st_rad,st_teff,sy_dist,disc_year
"16 Cyg B b","16 Cyg B",798.50000000000,1.6600000000,0.680000,,1.78000000,,,1.080000,1.130000,5750.00,21.13970000,1996
"18 Del b","18 Del",982.85000000000,2.4760000000,0.024000,,9.20700000,,,2.100000,8.800000,4980.00,76.22200000,2008
"1RXS J160929.1-210524 b","1RXS J160929.1-210524",,330.0000000000,,,8.00000000,,1700.00,0.850000,,4060.00,139.13500000,2008
"24 Sex b","24 Sex",452.80000000000,1.3330000000,0.090000,,1.99000000,,,1.540000,4.900000,5098.00,72.06910000,2010
"24 Sex c","24 Sex",883.00000000000,2.0800000000,0.290000,,0.86000000,,,1.540000,4.900000,5098.00,72.06910000,2010
"2MASS J12073346-3932539 b","2MASS J12073346-3932539",,,,,5.20000000,1.40000000,1163.00,,,,64.30800000,2004
"2MASS J04414489+2301513 b","2MASS J04414489+2301513",,15.0000000000,,,7.50000000,,,0.019000,,,,2010
"47 UMa b","47 UMa",1078.00000000000,2.1000000000,0.032000,,2.53000000,,,1.060000,1.213340,5872.00,13.79670000,1996
"47 UMa c","47 UMa",2391.00000000000,3.6000000000,0.098000,,0.54000000,,,1.060000,1.213340,5872.00,13.79670000,2001
"47 UMa d","47 UMa",14002.00000000000,11.6000000000,0.160000,,1.64000000,,,1.060000,1.213340,5872.00,13.79670000,2009
"4 UMa b","4 UMa",270.27000000000,0.8770000000,0.453000,,7.90200000,,,1.234000,18.110000,4415.00,73.46030000,2006
"Kepler-770 b","Kepler-770",18.92540274000,,,,,0.20519226,,0.940000,0.920000,5598.00,930.45700000,2016
"51 Peg b","51 Peg",4.23078500000,0.0527000000,0.013000,,0.47200000,,,1.030000,1.175610,5758.00,15.46140000,1995
"55 Cnc b","55 Cnc",14.65155200000,0.1180000000,0.002900,,0.86839311,,,1.015000,0.980000,5198.00,12.58550000,1996
"55 Cnc c","55 Cnc",44.39360000000,0.2470000000,0.088000,,0.17808352,,,1.015000,0.980000,5198.00,12.58550000,2004
"55 Cnc d","55 Cnc",4799.00000000000,5.6000000000,0.091300,,3.82000000,,,1.015000,0.980000,5198.00,12.58550000,2002
