cell            regime seed  R_train R_held  R_K2x  R_D2x  floor persist tape ops/ep  ERASE_ALL ERASE_REGS ERASE_TAPE SCR_LOC SCR_VAL RESET_IP class
W7_K2           E1     2    0.000   0.000   0.000  0.000  0.000 none    256  4.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W7_K2           E1     3    0.000   0.000   0.000  0.000  0.000 none    16   4.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W8_K2_D3        E0     1    0.354   0.375     -      -    0.001 regs    32   64.0    0.000     0.000      0.000      0.000   0.000   0.000   UNRESOLVED
W8_K2_D3        E0     2    0.375   0.240     -      -    0.001 all     128  128.0   0.000     0.000      0.000      0.000   0.000   0.000   UNRESOLVED
W8_K2_D3        E0     3    0.333   0.365     -      -    0.001 all     128  176.0   0.000     0.000      0.000      0.000   0.000   0.000   UNRESOLVED
W8_K2_D3        E1     1    0.000   0.000     -      -    0.001 none    128  8.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W8_K2_D3        E1     2    0.000   0.000     -      -    0.001 none    16   8.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W8_K2_D3        E1     3    0.000   0.000     -      -    0.001 none    32   8.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W9_K2           E0     1    0.000   0.000   0.000  0.000  0.000 all     16   512.0   0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W9_K2           E0     2    0.000   0.000   0.000  0.000  0.000 all     256  8.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W9_K2           E0     3    0.000   0.000   0.000  0.000  0.000 all     16   29.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W9_K2           E1     1    0.000   0.000   0.000  0.000  0.000 none    64   8.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W9_K2           E1     2    0.000   0.000   0.000  0.000  0.000 none    256  8.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W9_K2           E1     3    0.000   0.000   0.000  0.000  0.000 none    16   8.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
